iter	Passed	Remaining
399	75879	113818
400	76036	113579
401	76205	113360
402	76368	113131
403	76526	112895
404	76677	112649
405	76836	112415
406	76984	112166
407	77137	111924
408	77304	111704
409	77469	111480
410	77615	111230
411	77768	110990
412	77924	110754
413	78080	110519
414	78248	110302
415	78413	110080
416	78575	109855
417	78730	109619
418	78880	109378
419	79042	109153
420	79204	108929
421	79368	108708
422	79525	108478
423	79681	108246
424	79825	107998
425	79992	107783
426	80164	107573
427	80346	107379
428	80539	107198
429	80799	107106
430	80986	106916
431	81160	106711
432	81338	106510
433	81531	106329
434	81701	106118
435	81875	105911
436	82036	105690
437	82212	105487
438	82371	105263
439	82531	105039
440	82691	104817
441	82855	104599
442	83005	104365
443	83183	104166
444	83348	103951
445	83500	103720
446	83659	103498
447	83813	103269
448	83966	103041
449	84116	102808
450	84270	102582
451	84435	102368
452	84574	102123
453	84711	101877
454	84862	101648
455	85035	101445
456	85192	101223
457	85344	100997
458	85507	100783
459	85666	100564
460	85825	100347
461	85980	100123
462	86118	99883
463	86288	99678
464	86441	99454
465	86601	99239
466	86742	99002
467	86899	98783
468	87049	98556
469	87202	98334
470	87355	98112
471	87508	97891
472	87659	97667
473	87831	97467
474	87985	97247
475	88208	97103
476	88384	96908
477	88556	96707
478	88705	96483
479	88864	96270
480	89023	96056
481	89167	95827
482	89320	95608
483	89488	95405
484	89643	95188
485	89796	94970
486	89947	94749
487	90095	94526
488	90239	94298
489	90402	94092
490	90560	93880
491	90736	93687
492	90899	93480
493	91070	93282
494	91229	93072
495	91396	92871
496	91533	92638
497	91709	92446
498	91884	92252
499	92068	92068
500	92236	91868
501	92400	91664
502	92567	91463
503	92734	91262
504	92889	91049
505	93044	90837
506	93202	90628
507	93364	90423
508	93507	90200
509	93667	89994
510	93814	89775
511	93974	89569
512	94152	89380
513	94320	89182
514	94490	88986
515	94653	88783
516	94812	88576
517	95031	88426
518	95195	88225
519	95360	88025
520	95526	87826
521	95704	87637
522	95864	87432
523	96022	87226
524	96154	86996
525	96313	86792
526	96481	86595
527	96634	86385
528	96788	86176
529	96955	85979
530	97119	85779
531	97287	85583
532	97441	85375
533	97603	85174
534	97771	84978
535	97925	84771
536	98072	84557
537	98225	84350
538	98381	84144
539	98538	83940
540	98688	83729
541	98841	83522
542	98992	83314
543	99150	83111
544	99303	82904
545	99451	82693
546	99598	82483
547	99743	82269
548	99902	82069
549	100060	81867
550	100212	81661
551	100369	81459
552	100527	81257
553	100686	81058
554	100851	80862
555	101082	80720
556	101246	80524
